nome completo,matrícula,data de entrada,salário
Jamie Allen,576025186649,30/05/04,3891.85
Frank Perez,260671280941,16/12/66,6737.03
Jeffrey Brock,700851422146,11/10/88,5681.19
Stephen Adams,548428951946,12/10/23,5681.19
Mary Conley,380974112571,15/11/89,5634.28
Gregory Stewart,178274211139,01/01/76,7879.56
William Rodriguez,934424132595,05/03/74,7513.96
William Avila,780510643715,11/10/99,8950.56
Jennifer Chapman,456553120785,29/03/03,5980.41
Paul Moody,340991451502,25/01/60,8954.48
Max Johnston,859352271102,06/07/80,4683.13
Todd Patel,502057160944,18/07/81,5056.32
Jonathan Bush,936476564160,04/09/81,9782.91
Andrew Edwards,185099902153,16/08/87,4128.27
Jesse Cantrell,168101099595,21/01/70,6851.89
Cathy Snow,900648839905,26/04/02,5088.16
Miguel Coleman,412309614810,18/10/79,5724.34
Kimberly Richardson,167102028905,24/11/88,4542.1
Juan Wolf,12385810231,17/01/93,5966.62
Chloe Acosta,724248604880,08/04/81,4150.91
Charles Carroll,969457570851,26/08/61,3406.96
Erin Hoffman,558878504066,17/06/96,4545.18
Veronica Kent,549092661010,16/07/01,3250.07
Dennis Edwards,415576673420,07/04/64,5802.63
Dylan Miller,624672504003,01/06/67,4746.51
Scott Brown,273497753106,10/03/58,6346.31
William Martinez,808634117380,12/01/68,7752.03
Jessica Navarro,435746363740,25/09/84,6421.97
Nichole Ho,646113165596,28/03/96,8861.23
Steven Wilson,926075952865,29/06/73,7701.79
Chase Hawkins,697176858757,18/09/65,5688.27
Gabriel Fletcher,891812202617,15/02/85,7386.68
Robert Smith,568716941381,19/09/80,3271.53
Michelle Fuller,398409343269,24/02/03,7859.01
Michelle Callahan,178754445066,28/08/77,4914.59
Corey Brown,879576119633,05/05/94,7737.82
Alyssa Hunt,623232753750,27/04/04,5947.16
Ryan Mathews,27136175376,05/09/87,9777.7
Joseph Shea,739036006768,01/11/59,6475.58
Mitchell Mccarty,740987378000,30/12/88,9796.49
April Wheeler,430244221737,18/11/63,5119.07
Perry Curry,304861504623,16/07/80,3127.18
Todd Day,732948078807,06/06/88,4789.89
Donna Bishop,44936864748,29/08/94,7799.37
Ashley Terry,524794803704,01/09/91,7178.28
Melissa Ross,444493830288,20/04/01,6651.76
David Campos,474329530715,10/12/85,7028.0
Tyler Chaney,105460255269,29/07/74,7430.02
Steven Brown,663642955863,06/01/83,6303.0
Jason Wallace,135303280909,08/11/76,7665.67
Stephanie Williams MD,324966096076,28/06/93,8668.56
Randy Rollins,478106310745,14/06/67,9742.1
Christopher Michael,483088690467,03/06/05,4409.31
Jamie Smith,105771456912,07/10/62,7118.23
David Werner,73018552845,10/02/87,9548.49
Michelle Griffith,428192350003,22/11/57,3508.94
Kelsey Garcia,391685768485,11/04/74,8519.11
Michael Chandler,168634060907,13/08/71,4588.7
Jose Allen,320928329392,21/04/80,8324.97
Tracy Williams DDS,809767789438,04/02/05,5316.11
Zachary Kaiser,316389597290,26/04/83,4732.76
Anthony Conrad,686057844925,23/04/05,6425.43
Michael Nelson,71198808161,30/11/87,9043.82
Shannon Kidd,651902027411,12/07/66,3824.68
Philip Juarez,886438976918,19/03/66,5786.49
Evelyn George,67193546508,24/02/61,6464.37
Keith Strickland,531601535203,16/11/81,8728.36
Mark Webb,773351768790,14/06/81,6759.56
Gloria Delgado,319193563658,21/01/01,6692.59
Sean Orozco,387547501574,05/02/61,5567.91
Heather Acevedo,481904151782,08/09/79,3321.98
Joseph Wiley,3677468936,18/05/88,6227.07
Michael Dunn,436833495207,10/12/81,5543.27
Dawn Woods,222956996,06/04/64,3431.98
Ricky Knight,62242189116,02/08/59,7297.28
Brian Petty,314705747412,02/11/97,8367.33
Jennifer Buchanan,330580945282,01/08/97,7663.43
Ashley Williams,223178748957,18/08/98,5031.99
Jessica Brown,933651902272,27/06/80,3721.46
Jacqueline Cabrera,118305818263,24/07/68,6017.64
Lisa Hood,541951163612,15/04/78,9506.45
Jacob Thompson,225023915257,22/09/73,9727.8
Jessica Johnson,330605907475,22/05/86,9877.65
Wendy Watson,312821574791,12/05/62,7554.28
Mrs. Robin Howard,255790458044,15/05/83,4242.17
Michelle Martinez,430634787026,20/10/05,6430.83
Christopher Williams,88176158327,15/10/83,6202.59
Clinton Johnson,845237750279,09/08/89,8640.46
Jeremy Acevedo,573982539676,01/01/85,8509.42
Megan Edwards,463915526050,07/04/66,9692.37
Christopher Miller,956788257023,12/08/85,9280.18
Adam Downs,751432820482,29/09/70,6421.46
Gary Carpenter,78116841378,06/03/67,7445.48
Nicole Aguilar,937604211653,20/01/99,5126.78
Tyler Abbott,285665088548,07/10/60,7473.76
Christopher Hill,117920839568,12/07/77,9955.87
Lisa Miller,629591394316,10/01/93,5662.03
Stephen Martin,521057038269,19/01/03,4520.53
Emily Miller,818434804134,06/06/85,3113.08
Jill Garcia,263500317062,17/05/72,9254.29
Kristina Smith,788599892483,18/05/81,4621.52
Annette Gamble,792009472720,22/06/70,3600.45
Robin Stark,450019536125,11/08/85,5567.65
Carmen Alvarez,395159924700,15/02/98,5128.51
Charles Douglas,803440628828,30/11/72,6032.05
Anita Gonzales,653660468975,21/04/68,6434.45
Judy Hernandez,655814950318,18/06/97,9199.28
Thomas Sullivan,901235887836,15/01/84,9573.03
Linda Rodriguez,195438309335,14/04/76,9406.83
Wayne Wolfe,945814680783,29/04/59,4692.83
Rachael Nelson,479934826053,30/06/80,9092.61
Kelly Wolf,424391098493,26/05/04,9635.29
Peter Phillips,601083853313,03/09/68,6931.64
Meghan Vance,844507088969,19/01/87,5122.74
Wanda Smith,639898298266,07/04/89,5500.64
Nathaniel Benitez,86464182338,16/10/83,3998.32
David Ellis,912983345823,30/11/86,7088.18
Audrey Wang,887726831319,08/11/71,3011.76
Michael Hall,109264252574,12/10/70,5706.45
Sarah Harris,899778877566,10/08/01,5601.38
Angela Woods MD,885765488308,22/12/92,5538.06
Gabrielle Weber,188519439381,23/11/73,8224.34
Jack Webb,440727095749,27/03/80,3777.53
Sandra Chavez,237994207612,13/11/61,3604.93
Lisa Cummings,251646579128,07/08/86,9617.18
Kayla Rosario,191225264389,01/11/68,9131.17
Kellie Gonzalez,35379448748,13/06/81,5049.04
Hunter Lowe,568016510346,23/02/04,9482.41
Carrie Anderson DVM,507553321150,10/04/85,6675.54
Paul Briggs,19217416825,10/12/92,3180.2
Catherine Sandoval,672810966146,22/09/77,5229.72
Cathy Thompson,827454896235,09/12/83,9443.11
Tracy Freeman,257815478969,30/04/79,8802.4
Mariah Ramirez,808024376164,30/03/92,4521.35
Patrick Hill,460333167176,14/07/74,3835.81
Felicia Huffman,20802523211,30/07/63,6945.45
Daniel Wade,881637920789,03/11/93,4211.25
Angela Goodman,810024707746,23/01/84,9441.14
Brian Scott,217040877550,12/09/65,3282.68
Nathan Moore MD,95606826657,22/03/68,9680.31
Edward Olson,21150882695,12/11/73,9668.19
Charles Turner,327697164532,28/08/75,6661.76
Alison Collins,290669662315,30/10/61,6325.31
Roy Lowe,456056618784,26/10/78,6851.41
James Hunter,949574122183,30/04/67,5394.37
Stacy Schmitt,294523250714,28/03/70,7650.07
Noah Francis,533762653811,02/08/92,7114.96
Kim Santana,943805503725,28/02/81,9201.41
Eric Reese,839842270923,31/01/71,8404.85
Rodney Hicks,468756059025,13/03/83,7816.5
Stephanie Norris,514255294989,21/11/87,7010.34
Keith Wheeler,476614898339,10/04/70,6375.97
Tammy Mcdonald,629973621634,03/10/84,9174.11
